Project_ID,Construction_status,Project_manager,Project_cost,Project_counties,Description,Description_short,Is_TIA_project,Project_URL
0008671,PRE-CONSTRUCTION,Albert V. Shelby III,14192000.0,Troup,,SR 1/US 27 From I-185 To I-85,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008671
0008672,PRE-CONSTRUCTION,Albert V. Shelby III,8153000.0,Troup,,SR 219 From CR 407/Bartley Road To I-85,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008672
0008673,PRE-CONSTRUCTION,Albert V. Shelby III,7663000.0,Troup,,SR 219 From SR 1/US 27 To South Davis Road,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008673
0008674,PRE-CONSTRUCTION,Justin L. Akins,31735659.56,Troup,SR 109 From County Road 206/ Callway Church To CountyRoad 238/ Chipley Mt-ville widening,SR 109 From CR 206/Callaway Church To CR 238/Chipley Mt-Ville,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008674
0008675,PRE-CONSTRUCTION,Albert V. Shelby III,23855000.0,Troup,,SR 109 From SR 14/US 29 To CR 680/Abbotts Ford/Rock Mill Road,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008675
0008676,PRE-CONSTRUCTION,Albert V. Shelby III,14200000.0,"Meriwether , Troup",,SR 54 From SR 14/US 29/Troup To CR 17/County Ln RD/Meriwether,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008676
0008677,PRE-CONSTRUCTION,Albert V. Shelby III,18456000.0,Troup,,SR 219 & CS 1023 From SR 1/US 27 To CR 419/Wares Cross Road,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008677
0008678,PRE-CONSTRUCTION,Albert V. Shelby III,17066000.0,Troup,,South Davis Road From SR 109 To SR 219,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008678
0008682,PRE-CONSTRUCTION,Albert V. Shelby III,9721000.0,Spalding,,CR 498/Mcdonough RD From SR 155 To SR 16 - SR 155 Relocation,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008682
0008704,PRE-CONSTRUCTION,,6400000.0,Fayette,,Eastern Fayette County Park & Ride - GRTA,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008704
0008705,PRE-CONSTRUCTION,,6400000.0,Fayette,,Western Fayette County Park & Ride - GRTA,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008705
0008708,PRE-CONSTRUCTION,,1250000.0,Douglas,,Six Flags Park & Ride - GRTA,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0008708
0009293,PRE-CONSTRUCTION,Albert V. Shelby III,3343000.0,Muscogee,,SR 1/US 27 From Old Moon Road To Turnberry Lane - 6 Lanes,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009293
0009836,PRE-CONSTRUCTION,Shari Williams,8044432.4,Douglas,"The project proposes a four-legged, hybrid roundabout that includes SR 5 (north and south), Banks Mill Road, and Pool Road. The project would also construct a southbound left-turn lane from SR 5 onto Big A Road. Dorsett Shoals Rd would intersect SR 5 200 feet to the north of the proposed roundabout. The project is located in Douglas County, approximately 4 miles south of the city limits of Douglasville.",SR 5 @ Dorsett Shoals Road & @ Banks Mill Road/Pool Road,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009836
0009901,COMPLETED-CONSTRUCTION,David B. Lott,6284289.61,Haralson,The purpose of this project is to enhance safety and improve operational efficiency at the intersections of I-20 and Waco Road (CR 348) by converting both intersections to a single lane roundabouts.,I-20/SR 402 - Construction  Roundbout,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009901
0009967,UNDER-CONSTRUCTION,Daniel Chastain,4415267.13,Coweta,"This project is a single lane roundabout at SR 14/US 29 and SR 41/US 27 Alt at the border of Moreland, Ga. in Coweta County. Once completed, this project is anticipated to reduce crash frequency and severity.",SR 14 - Construction Of A Roundabout,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009967
0009975,UNDER-CONSTRUCTION,Sonja Thompson,16620914.55,Troup,"This project will replace the existing two-way, stop-controlled ramp terminals with two newly constructed roundabouts at the interchange of I-85 and SR 18. The project is located the City of West Point in southern Troup County. The project length is approximately 0.25 miles.The existing diamond interchange of I-85 and SR 18 consists of four ramps with two-way stop control. The ramps exiting I-85 onto SR 18 each have two lanes, one for left turns and one for right turns. The entrance ramps to I-85 from SR 18 each have one lane. SR 18 is a four-lane divided highway with left-turn lanes onto the entrance ramps. There are no sidewalks. There are four existing bridges in the project area. I-85 crosses SR 18 with two bridges, and SR 18 crosses Long Cane Creek with two bridges. There are no major utilities in the area, but there are distribution lines for power, water, gas, and communications.",SR 18/E 10Th St& I-85/SR 403-Construction Of A Roundabout & Br Repl,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0009975
0010441,PRE-CONSTRUCTION,Albert V. Shelby III,34899163.0,"Lamar , Pike , Spalding",,Griffin Southeast Bypass From SR 3 To SR 16 - Phase III,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0010441
0012624,UNDER-CONSTRUCTION,Antoniette K Moseley,2497108.04,Fayette,"A 10-ft wide multi-use path along Redwine Road between Birkdale Drive and Newhaven Drive (a distance of 4,300 feet) with a similar path between Preserve Place and Foreston Place (a distance of 3,600 feet. Includes crossing improvements near Old Ivy / Carnoustie Way and other path improvements along Redwine Road as deemed appropriate and feasible.",Ca - Multi-Use Path,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0012624
0012800,PRE-CONSTRUCTION,Albert V. Shelby III,121246855.32,Troup,Widening of I-85 from I-185 to SR 54/SR 100. Work will stop on this project once the concept report is approved.,I-85 From 1.63 MI N Of I-185 To 0.72 MI S Of SR 54/SR 100,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0012800
0012801,PRE-CONSTRUCTION,Albert V. Shelby III,102577711.37,"Meriwether , Troup",Widening of I-85 from SR 54/SR 100/Troup County to 0.2 Miles North of Cr 417/Meriwether County. Work will stop on this project once concept report is approved.,I-85 From S Of SR 54/SR 100/Troup To N Of Forest RD/Meriwether,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0012801
0012878,COMPLETED-CONSTRUCTION,Antoniette K Moseley,6376250.0,Fayette,"The project will improve the pedestrian and cycling crossing facility along SR 54. The pedestrian bridge will be located approximately 941¿ from of Piedmont Fayette Hospital at the intersection of Togwotee Parkway and SR 54. The bridge will be approximately 165¿ long. The bridge will be elevated no less than 18¿ 6¿ to meet minimum clearance requirement for SR 54. The shared-use trail will be 12¿ wide and will ramp up to the overpass bridge. The proposed trail location north of SR 54 will continue northbound to connect to Piedmont Fayette Hospital. On the south side of SR 54, the trail will ramp down into the existing grade and continue east along the south side of SR 54. The trail will connect to the existing shared-use trail along Lester Road.",Ca - West Fayetteville Path From SR 54 To CS 894/Lester Road,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0012878
0013063,PRE-CONSTRUCTION,Albert V. Shelby III,106885434.0,"Meriwether , Troup",,SR 109 From Chipley Mountville RD/Troup To SR 41/Meriwether,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013063
0013064,PRE-CONSTRUCTION,Joo Kim,168606397.15,"Meriwether , Pike",PI # 0013064 is a widening project that extends along SR 109 from SR 41 in Meriwether County to SR 18 in Pike County. This widening project has a construction date of 2034. This project will provide additional capacity to improve mobility and reduce congestion.,SR 109 From SR 41/Meriwether To SR 18/Pike,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013064
0013065,PRE-CONSTRUCTION,Albert V. Shelby III,22906598.74,"Pike , Upson",,SR 74 From SR 109/Pike To SR 3/US 19/Upson,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013065
0013066,PRE-CONSTRUCTION,Albert V. Shelby III,24739243.88,"Monroe , Upson",,SR 74 From SR 3/US 19/Upson To SR 7/US 341/Monroe,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013066
0013173,PRE-CONSTRUCTION,Andrew Bryant,4573636.67,"Carroll , Haralson",This project proposes pedestrian upgrades at 30 locations in Carroll and Haralson County. These improvements are anticipated to improve pedestrian mobility at each intersection.,Pedestrian Upgrades @ 39 Locs In Carroll & Haralson CO - Vru,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013173
0013195,PRE-CONSTRUCTION,Antoniette K Moseley,17674099.28,Coweta,"This project is the proposed Madras Connector Phase 1, PI 0013195, will begin at SR 14/US 29 with a new single-lane roundabout located at the access road to Fire Station #6 and then run easterly across CSX Railroad and Herring Road via a new bridge, and temporarily terminate at the east side of Herring Road with an access road to existing Herring Road. The project is a New Roadway, Reconstruction which includes a bridge over CSX RR, and a Roundabout.",Madras Conn From SR 14 To Herring RD; Inc New CSX Bridge-Ph I,No,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0013195
