Project_ID,Project_counties,Is_TIA_project,Project_description,Last_refresh,Project_URL
0020778,Forsyth,No,SR 141 From SR 400 To Bennett Pkwy,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020778
0020797,DeKalb,No,SR 42/US 23 @ Bailey Street,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020797
0020927,Fulton,No,SR 141 From Old Alabama Road To State Bridge Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020927
0020938,Cherokee,No,SR 108 @ SR 140,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020938
0020939,Cobb,No,SR 5 Conn @ Mall Blvd,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020939
0020943,Cobb,No,SR 5 Conn @ I-75 Sb Ramp,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020943
0020944,Cobb,No,SR 5 Conn @ I-75 Nb Ramp,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020944
0020951,"Clayton , Fulton",No,I-85 From Riverdale Road To I-75,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020951
0020952,Fulton,No,I-75 @ SR 154 - Tunnel Lighting,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020952
370880-,"Clayton , Spalding",No,CR 517 @ Bear Creek @ Clayton/Spalding CO Ln,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=370880-
0020953,Fulton,No,I-75 @ Ralph Mcgill Blvd & @ Baker Street - Tunnel Lighting,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020953
0020954,Fulton,No,I-75 From I-20 To I-85,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020954
0020955,Fulton,No,I-75 From I-85 To Memorial Drive,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0020955
0021092,"Cherokee , Cobb , Fulton",No,I-75 & I-85 @ 5 Locs - Ramp Meter Improvements,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0021092
0021093,"Clayton , DeKalb , Fulton",No,I-285 From Columbia Dr To Boulder Park Dr - Aid Upgrades,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0021093
0002868,DeKalb,No,Panola RD @ I-20 From Fairington RD To Snapfinger Woods Dr,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0002868
0000414,"Newton , Rockdale , Walton",No,SR 138 From Miller Bottom RD To SR 10/US 78,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000414
0000416,"Rockdale , Walton",No,SR 20 From Sharon Church RD/Walton To Pleasant Hill RD/Rockdle,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000416
0007094,Cobb,No,Galleria Park And Ride Lot GRTA,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007094
0007095,DeKalb,No,CR 7938/Panola RD From SR 12/Covington Hwy To CR 5193/Redan RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0007095
0006883,DeKalb,No,CR 4861/Hammond Dr From Ashford-Dunwoody RD To Fulton CO Ln,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006883
0006888,DeKalb,No,CR 627/Hayden Quarry RD Ext From Turner Hill RD To Rockdale Co,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006888
0006894,DeKalb,No,CR 5168/Panthersville RD From Clifton Sgs RD To Flat Shs RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006894
0006895,DeKalb,No,CR 442/Columbia Dr From Rainbow Dr To SR 155/Flat Shoals RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006895
0006896,DeKalb,No,CR 5186/Wesley Chapel RD From SR 155/Flat Shs To Kelly Chapel,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006896
0006897,DeKalb,No,CR 5186/Flakes Mill RD From SR 155/Flat Shoals RD To River RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006897
0000562,Henry,No,CR 650/Bill Gardner Pkwy From SR 155 To I-75 - Phase I,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0000562
0006903,Fayette,No,W Fayetteville Bypass From Sandy Creek RD To Harp/Redwine RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006903
0006905,Fayette,No,SR 74 @ SR 54 - Grade Separation,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006905
0004451,DeKalb,No,CR 1285/Clifton Road @ CSX/Rr,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0004451
0004497,Cherokee,No,Woodstock Greenway,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0004497
0005529,DeKalb,No,Its Enhancement - Phase I,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0005529
0005569,DeKalb,No,Its Enhancement - Phase II,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0005569
0006915,Forsyth,No,Post Road From SR 9 To CR 5/Kelly Mill Road,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006915
0006921,Gwinnett,No,SR 124 From US 78 To SR 864/Ronald Reagan Parkway,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006921
0005970,Cherokee,No,SR 372/Ballground RD From Canton Hwy To Cumming Hwy,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0005970
0006922,Gwinnett,No,Pleasant Hill RD From Chattahoochee Rvr/Pib To Old Norcross RD,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006922
0006924,Gwinnett,No,Sugarloaf Pkwy Extension From I-85 To SR 316; Inc Cd - Phase II,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006924
0006931,Rockdale,No,Sigman RD Extension From Dekalb County Line To I-20,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006931
0006036,"Bartow , Cherokee",No,SR 140 From E Valley RD/Bartow To Garland Mountain Trail/Cherokee,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006036
0006037,Cherokee,No,SR 140 From Little Refuge RD To Shoal Creek,1741085725000,https://www.dot.ga.gov/applications/geopi/Pages/Dashboard.aspx?ProjectId=0006037
